Time,postX,postY,postZ,wristX,wristY,wristZ
1.95,35.456495,1284.2623,986.72201,130.21018,1186.3289,370.57184
1.96,35.463535,1284.1909,986.87589,130.23281,1186.3048,370.73433
1.97,35.438815,1284.2539,986.84998,130.21193,1186.3336,370.66996
1.98,35.469225,1284.1991,986.83885,130.25735,1186.3076,370.69886
1.99,35.482265,1284.1555,986.88261,130.23409,1186.2633,370.72991
2,35.480545,1284.1775,986.8025,130.24181,1186.2741,370.71296
2.01,35.371595,1284.1463,986.84202,130.21746,1186.2882,370.76192
2.02,35.433845,1284.2044,986.79858,130.22035,1186.3253,370.69265
2.03,35.470915,1284.2198,986.79255,130.21166,1186.2993,370.68709
2.04,35.428225,1284.1869,986.77501,130.23974,1186.2937,370.68255
2.05,35.442365,1284.1858,986.82116,130.28185,1186.2918,370.68098
2.06,35.438035,1284.179,986.80466,130.21847,1186.2802,370.72717
2.07,35.468685,1284.1569,986.83939,130.38815,1186.2452,370.88478
2.08,35.470275,1284.224,986.8618,130.22997,1186.303,370.7005
2.09,35.417935,1284.1952,986.85258,130.25411,1186.3107,370.69811
2.1,35.460335,1284.208,986.7463,130.21946,1186.2741,370.65111
2.11,35.458205,1284.1457,986.90605,130.25616,1186.2744,370.70474
2.12,35.420005,1284.1758,986.8823,130.20068,1186.2807,370.71987
2.13,35.402235,1284.2113,986.85569,130.22466,1186.3122,370.70894
2.14,35.373455,1284.2315,986.82245,130.21694,1186.2916,370.72593
2.15,35.487185,1284.2055,986.81695,130.24682,1186.2935,370.66648
2.16,35.462655,1284.1875,986.87985,130.20859,1186.3019,370.6878
2.17,35.478205,1284.1754,986.91078,130.2364,1186.2529,370.73972
2.18,35.399085,1284.1539,986.86548,130.21788,1186.2724,370.757
2.19,35.443965,1284.169,986.86348,130.18699,1186.2863,370.70104
2.2,35.478175,1284.167,986.85402,130.24034,1186.2616,370.69555
2.21,35.360845,1284.1986,986.80857,130.27155,1186.281,370.69704
2.22,35.460705,1284.1955,986.81915,130.25459,1186.2788,370.7218
2.23,35.359665,1284.1595,986.84165,130.23493,1186.2813,370.708
2.24,35.465425,1284.1835,986.88151,130.24047,1186.2756,370.73323
2.25,35.407715,1284.1794,986.84792,130.24651,1186.2884,370.72747
2.26,35.442225,1284.1526,986.8522,130.22829,1186.2809,370.731
2.27,35.409215,1284.1163,986.87315,130.2868,1186.2426,370.76663
2.28,35.444045,1284.1763,986.80589,130.20336,1186.2737,370.68562
2.29,35.433405,1284.1469,986.85263,130.22554,1186.2673,370.73444
2.3,35.379455,1284.2129,986.809,130.21191,1186.2845,370.72452
2.31,35.473735,1284.2028,986.86315,130.23874,1186.2964,370.73455
2.32,35.478375,1284.1625,986.83306,130.24762,1186.2937,370.70857
2.33,35.467025,1284.1794,986.83896,130.24089,1186.3041,370.68891
2.34,35.416555,1284.2492,986.83635,130.2216,1186.2924,370.70578
2.35,35.374965,1284.227,986.85976,130.20692,1186.2988,370.70164
2.36,35.422745,1284.2001,986.85436,130.2384,1186.3012,370.69631
2.37,35.416375,1284.178,986.8225,130.24242,1186.265,370.69671
2.38,35.480495,1284.1861,986.82657,130.32297,1186.2591,370.71309
2.39,35.397755,1284.2138,986.80539,130.23985,1186.2996,370.70835
2.4,35.368175,1284.2175,986.84578,130.18638,1186.2712,370.69648
2.41,35.450155,1284.207,986.84271,130.22463,1186.3334,370.67618
2.42,35.399335,1284.1635,986.85511,130.21912,1186.2699,370.6962
2.43,35.446735,1284.1596,986.82392,130.24195,1186.271,370.72499
2.44,35.455825,1284.1504,986.84783,130.23761,1186.2526,370.71074
2.45,35.413515,1284.2126,986.85724,130.20854,1186.2989,370.6946
2.46,35.468465,1284.2314,986.86794,130.22516,1186.2966,370.69568
2.47,35.407255,1284.1804,986.79324,130.22653,1186.3025,370.69276
2.48,35.389625,1284.1621,986.83957,130.26239,1186.2989,370.71147
2.49,35.417705,1284.1585,986.80598,130.26386,1186.2733,370.72837
2.5,35.408515,1284.1958,986.76226,130.25044,1186.312,370.69412
2.51,35.395645,1284.2309,986.89302,130.22336,1186.2929,370.69453
2.52,35.471255,1284.2001,986.90518,130.23953,1186.2998,370.73461
2.53,35.416715,1284.178,986.81218,130.21642,1186.3014,370.68782
2.54,35.495665,1284.1791,986.86729,130.24107,1186.2986,370.72205
2.55,35.461955,1284.2089,986.88294,130.21353,1186.2897,370.7323
